circular_magnet	1	2	TR	TL	RI	RO
circular_magnet	2	2	TR	TL	RI	RO
circular_magnet	3	2	TR	TL	RI	RO
circular_magnet	4	2	TR	TL	RI	RO
circular_magnet	5	2	TR	TL	RI	RO
circular_magnet	6	2	TR	TL	RI	RO
circular_magnet	7	2	TR	TL	RI	RO
circular_magnet	8	2	TR	TL	RI	RO
circular_magnet	9	2	TR	TL	RI	RO
circular_magnet	10	2	TR	TL	RI	RO
circular_magnet	11	2	TR	TL	RI	RO
circular_magnet	12	2	TR	TL	RI	RO
circular_magnet	13	
circular_magnet	14	2	TR	TL	RI	RO
circular_magnet	15	2	TR	TL	RI	RO
circular_magnet	16	2	TR	TL	RI	RO
circular_magnet	17	
circular_magnet	18	2	TL	RI
circular_magnet	19	2	TR	TL	RI	RO
circular_magnet	20	2	TR	TL	RI	RO
circular_magnet	21	2	TR	TL	RI	RO
rectangular_magnet	1	2	I	O
rectangular_magnet	2	2	I	O
rectangular_magnet	3	2	I	O
rectangular_magnet	4	2	I	O
rectangular_magnet	5	2	I	O
rectangular_magnet	6	2	I	O
rectangular_magnet	7	2	I	O
rectangular_magnet	8	2	I	O
rectangular_magnet	9	2	I	O
rectangular_magnet	10	2	I	O
rectangular_magnet	11	2	I	O
rectangular_magnet	12	2	I	O
rectangular_magnet	13	1
rectangular_magnet	14	2	I	O
rectangular_magnet	15	2	I	O
rectangular_magnet	16	2	I	O
rectangular_magnet	17	2	I	O
rectangular_magnet	18	2	O
rectangular_magnet	19	2	I	O
rectangular_magnet	20	2	I	O
rectangular_magnet	21	2	I	O
